isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google,cover
9782757817452,Les ghettos du gotha : au coeur de la grande bourgeoisie,Monique,Pincon-charlot,25/03/2010,352,https://www.google.fr/books/edition/_/8LWPRQAACAAJ?hl=fr,https://www.google.com/search?q=9782757817452,https://inventaire.io/img/entities/9452c196b3ef146507de59d6d49a06d2903b34f8
9782867465741,Persécution,Alessandro,Piperno,25/08/2011,420,https://www.google.fr/books/edition/_/VGGXtgAACAAJ?hl=fr,https://www.google.com/search?q=9782867465741,https://inventaire.io/img/entities/f52549e7013da2c1fe1ac605062fca1025334f73
9782080708489,"Apologie de Socrate, Criton",Platon,Platon,,,https://www.google.fr/books/edition/_/uGhQSAAACAAJ?hl=fr,https://www.google.com/search?q=9782080708489,https://inventaire.io/img/entities/b01f52f59c1ae7de6f906ab85b3e060562642ad1
9782073013606,La guerre russo-ukrainienne,Serhii,Plokhy,01/01/2023,416,https://www.google.fr/books/edition/_/7z0n0AEACAAJ?hl=fr,https://www.google.com/search?q=9782073013606,https://inventaire.io/img/entities/2e148c71a86f7fa747d37fff52887b28f3067450
9782253006923,Histoires extraordinaires,Edgar,Poe,01/03/1972,285,https://www.google.fr/books/edition/_/sCOSnAEACAAJ?hl=fr,https://www.google.com/search?q=9782253006923,https://inventaire.io/img/entities/731d812d8f5476db2b04e9fcfb18cc3f460f78fb
9782707128157,Le devisement du monde,Marco,Polo,14/01/1998,268,https://www.google.fr/books/edition/_/ayoAzgEACAAJ?hl=fr,https://www.google.com/search?q=9782707128157,https://inventaire.io/img/entities/ec71cabf27be054fda26ba3fa6fefe07da8a9b04
9782707128164,"Le Devisement du monde, tome 2",Marco,Polo,14/01/1998,554,https://www.google.fr/books/edition/_/aRe7DAEACAAJ?hl=fr,https://www.google.com/search?q=9782707128164,https://inventaire.io/img/entities/2b1370b552ab491c84e6e2dde7677e7f4363d229
9782253005438,Anthologie de la poésie française,Georges,Pompidou,01/04/1974,540,https://www.google.fr/books/edition/_/lKsgAQAAMAAJ?hl=fr,https://www.google.com/search?q=9782253005438,https://inventaire.io/img/entities/a1d2acc59ca7951a247e1194526533954e86a335
9782862603810,"Asie centrale. Aux conflits des empires, rÃ?Â©veil et tumulte",Catherine,Poujol,31/10/1992,253,https://www.google.fr/books/edition/_/atFJAAAACAAJ?hl=fr,https://www.google.com/search?q=9782862603810,https://inventaire.io/img/entities/ff0a7e0eb2cafc68190ccc563cf287796d975baf
9782352870296,Les murailles de feu,Steven,Pressfield,07/03/2007,473,https://www.google.fr/books/edition/_/hbxNPAAACAAJ?hl=fr,https://www.google.com/search?q=9782352870296,https://inventaire.io/img/entities/6ecc814b668562a2f91c0e93b2835308eef95201
9782213601335,Histoire des Italiens,Giuliano,Procacci,01/05/1998,473,https://www.google.fr/books/edition/_/TT43HQAACAAJ?hl=fr,https://www.google.com/search?q=9782213601335,https://inventaire.io/img/entities/16c49381946f2ff8ff8667822ec14c47ff93a397
9782809703207,L'archipel des séismes,Corinne,Quentin,24/02/2018,240,https://www.google.fr/books/edition/_/HfJ1tgAACAAJ?hl=fr,https://www.google.com/search?q=9782809703207,https://inventaire.io/img/entities/2737a44d1ca2293cbf4071407af560499468eac2
9782070417162,Terrasse à Rome,Pascal,Quignard,01/06/2001,128,https://www.google.fr/books/edition/_/xmcZswEACAAJ?hl=fr,https://www.google.com/search?q=9782070417162,https://inventaire.io/img/entities/9359332d4d957edba6fb2eb11969004de4bf1420
